metric,window_size,scope,League,n_matches,n_bets,bet_pct,total_pnl,roi
adj,15,Austria2.Liga,Austria2.Liga,17,10,0.5882352941176471,-4.253,-0.4253
adj,15,AustriaBundesliga,AustriaBundesliga,184,76,0.41304347826086957,5.398,0.07102631578947367
adj,15,BelgiumFirstDivisionA,BelgiumFirstDivisionA,322,142,0.4409937888198758,0.9559999999999993,0.0067323943661971785
adj,15,BelgiumFirstDivisionB,BelgiumFirstDivisionB,15,9,0.6,0.45599999999999996,0.050666666666666665
adj,15,CroatiaHNL,CroatiaHNL,211,116,0.5497630331753555,-7.756,-0.06686206896551725
adj,15,CzechiaFirstLeague,CzechiaFirstLeague,292,124,0.4246575342465753,6.664,0.05374193548387097
adj,15,DenmarkDivision1,DenmarkDivision1,10,1,0.1,-1.0,-1.0
adj,15,DenmarkSuperligaen,DenmarkSuperligaen,178,71,0.398876404494382,9.419,0.1326619718309859
adj,15,EnglandChampionship,EnglandChampionship,676,304,0.44970414201183434,8.471,0.027865131578947367
adj,15,EnglandPremierLeague,EnglandPremierLeague,525,264,0.5028571428571429,-0.931,-0.0035265151515151516
adj,15,FinlandVeikkausliiga,FinlandVeikkausliiga,163,68,0.4171779141104294,5.758,0.0846764705882353
adj,15,FranceLigue1,FranceLigue1,429,163,0.37995337995337997,-5.063000000000001,-0.031061349693251538
adj,15,FranceLigue2,FranceLigue2,349,134,0.3839541547277937,-9.893,-0.07382835820895522
adj,15,GermanyBundesligaI,GermanyBundesligaI,426,161,0.3779342723004695,-10.795,-0.06704968944099379
adj,15,GermanyBundesligaII,GermanyBundesligaII,349,105,0.3008595988538682,14.277,0.13597142857142858
adj,15,HungaryNBI,HungaryNBI,215,102,0.4744186046511628,-9.001000000000001,-0.0882450980392157
adj,15,ItalySerieA,ItalySerieA,516,190,0.3682170542635659,11.639999999999999,0.06126315789473684
adj,15,ItalySerieB,ItalySerieB,370,97,0.26216216216216215,0.7629999999999992,0.00786597938144329
adj,15,NetherlandsEersteDivisie,NetherlandsEersteDivisie,389,180,0.46272493573264784,31.308999999999997,0.17393888888888887
