metric,window_size,scope,n_bets,total_pnl,roi
adj_nr,19,global,3486,143.432,0.0411451520367183
adj_nr,15,global,3688,123.32799999999999,0.03344034707158351
adj_nr,25,global,3293,117.22699999999999,0.035598846037048285
adj,15,global,3710,111.18199999999999,0.029968194070080858
adj,19,global,3539,110.85499999999999,0.03132382028821701
adj,25,global,3392,91.41799999999998,0.02695106132075471
adj,30,global,3267,86.59599999999999,0.02650627486991123
adj_nr,30,global,3206,67.74099999999999,0.02112944479101684
adj,19,NetherlandsEersteDivisie,185,34.117,0.1844162162162162
adj_nr,15,NetherlandsEersteDivisie,165,33.556999999999995,0.20337575757575754
adj,15,NetherlandsEersteDivisie,180,31.308999999999997,0.17393888888888887
adj,30,EnglandChampionship,289,30.314999999999998,0.10489619377162629
adj,30,NetherlandsEersteDivisie,165,29.508,0.17883636363636363
adj,30,PortugalSegundaLiga,110,28.255,0.25686363636363635
adj_nr,30,PortugalSegundaLiga,114,28.09,0.24640350877192982
adj,25,NetherlandsEersteDivisie,169,26.615,0.15748520710059172
adj_nr,19,NetherlandsEersteDivisie,170,26.39,0.15523529411764705
adj,15,PortugalSegundaLiga,169,23.619999999999997,0.13976331360946745
adj,25,PortugalSegundaLiga,120,22.874,0.19061666666666666
adj_nr,15,PortugalSegundaLiga,175,22.502,0.12858285714285714
adj_nr,30,EnglandChampionship,276,22.297,0.08078623188405798
adj_nr,15,NetherlandsEredivisie,107,21.78,0.20355140186915888
adj_nr,30,NetherlandsEersteDivisie,156,21.061,0.13500641025641025
adj_nr,25,NetherlandsEersteDivisie,162,20.965999999999998,0.12941975308641973
adj_nr,19,PortugalSegundaLiga,141,19.741999999999997,0.1400141843971631
adj_nr,19,PortugalPrimeiraLiga,145,18.872,0.13015172413793102
adj_nr,25,PortugalSegundaLiga,125,18.77,0.15016
adj_nr,15,ItalySerieA,181,18.714,0.10339226519337016
adj,15,NetherlandsEredivisie,104,18.092,0.17396153846153845
adj,19,PortugalPrimeiraLiga,138,17.974,0.1302463768115942
adj,25,GermanyBundesligaII,101,17.915,0.17737623762376237
adj_nr,25,GermanyBundesligaII,88,17.608999999999998,0.2001022727272727
adj_nr,25,PolandEkstraklasa,117,17.006,0.14535042735042736
adj_nr,19,NetherlandsEredivisie,100,16.413999999999998,0.16413999999999998
adj,19,PortugalSegundaLiga,128,16.282999999999998,0.12721093749999998
adj_nr,30,CzechiaFirstLeague,142,15.754,0.11094366197183099
adj_nr,25,ItalySerieA,221,15.666999999999998,0.07089140271493212
adj,25,EnglandChampionship,301,15.443999999999999,0.05130897009966777
adj,25,PolandEkstraklasa,119,15.089999999999998,0.1268067226890756
adj,15,PolandEkstraklasa,138,14.713999999999999,0.1066231884057971
adj,15,GermanyBundesligaII,105,14.277,0.13597142857142858
adj_nr,30,PolandEkstraklasa,126,14.12,0.11206349206349206
adj_nr,15,SpainSegunda,137,13.522999999999998,0.09870802919708027
adj_nr,15,PortugalPrimeiraLiga,168,13.453,0.08007738095238096
adj,19,CzechiaFirstLeague,116,13.391,0.1154396551724138
adj_nr,25,CzechiaFirstLeague,126,13.329,0.10578571428571429
adj,19,GermanyBundesligaII,102,13.245,0.1298529411764706
adj_nr,30,PortugalPrimeiraLiga,142,13.065999999999999,0.09201408450704225
adj_nr,25,FranceLigue1,165,12.762,0.07734545454545455
adj,19,NetherlandsEredivisie,99,12.677,0.12805050505050505
adj_nr,30,NetherlandsEredivisie,101,12.456,0.12332673267326733
adj_nr,25,RomaniaLigaI,121,12.317,0.10179338842975207
adj_nr,25,EnglandChampionship,251,12.028,0.0479203187250996
adj_nr,30,GermanyBundesligaII,81,11.724,0.14474074074074075
adj,15,ItalySerieA,190,11.639999999999999,0.06126315789473684
adj,30,GermanyBundesligaII,89,11.366999999999999,0.1277191011235955
adj_nr,19,BelgiumFirstDivisionA,153,10.749999999999998,0.07026143790849672
adj_nr,25,NetherlandsEredivisie,106,10.555,0.0995754716981132
adj_nr,19,GermanyBundesligaII,93,10.436,0.11221505376344086
adj,19,DenmarkSuperligaen,63,10.109,0.16046031746031747
adj_nr,19,PolandEkstraklasa,128,10.092999999999998,0.07885156249999999
adj_nr,19,FranceLigue1,154,10.088,0.0655064935064935
adj,25,NetherlandsEredivisie,97,9.988,0.10296907216494845
adj_nr,15,GermanyBundesligaII,95,9.893,0.10413684210526317
adj,30,PortugalPrimeiraLiga,133,9.885,0.0743233082706767
adj,30,PolandEkstraklasa,124,9.758999999999999,0.07870161290322579
adj,15,DenmarkSuperligaen,71,9.419,0.1326619718309859
adj,25,HungaryNBI,99,9.333,0.09427272727272727
adj_nr,19,EnglandChampionship,252,9.187,0.0364563492063492
adj_nr,19,CzechiaFirstLeague,113,9.092,0.08046017699115045
adj_nr,30,RomaniaLigaI,115,8.9,0.0773913043478261
adj,19,PolandEkstraklasa,120,8.779999999999998,0.07316666666666664
adj,30,RomaniaLigaI,100,8.779,0.08778999999999999
adj,19,EnglandChampionship,296,8.672,0.029297297297297298
adj_nr,30,FranceLigue1,164,8.661999999999999,0.0528170731707317
adj,15,NorwayEliteserien,124,8.576999999999998,0.06916935483870966
adj_nr,15,EnglandPremierLeague,243,8.518,0.03505349794238683
adj,25,FranceLigue1,171,8.501,0.04971345029239766
adj,15,EnglandChampionship,304,8.471,0.027865131578947367
adj_nr,15,DenmarkSuperligaen,72,8.366,0.11619444444444443
adj_nr,25,FinlandVeikkausliiga,69,8.353,0.12105797101449275
adj_nr,15,PolandEkstraklasa,146,8.220999999999998,0.05630821917808218
adj_nr,25,GermanyBundesligaI,136,7.874999999999999,0.05790441176470588
adj,30,NetherlandsEredivisie,94,7.762,0.08257446808510638
adj,30,CzechiaFirstLeague,122,7.712,0.06321311475409835
adj_nr,30,DenmarkSuperligaen,73,7.563000000000001,0.1036027397260274
adj,25,RomaniaLigaI,118,7.455,0.06317796610169492
adj,19,BelgiumFirstDivisionA,152,7.347999999999999,0.04834210526315789
adj,30,DenmarkSuperligaen,79,7.323,0.09269620253164558
adj,30,HungaryNBI,112,7.172,0.06403571428571428
adj,25,ItalySerieA,242,6.949999999999999,0.028719008264462807
adj,15,SpainSegunda,141,6.878999999999999,0.04878723404255318
adj,15,CzechiaFirstLeague,124,6.664,0.05374193548387097
adj,19,FinlandVeikkausliiga,78,6.56,0.0841025641025641
adj,19,NorwayEliteserien,115,6.390999999999998,0.055573913043478244
adj,19,SwitzerlandSuperLeague,117,6.189,0.052897435897435896
adj,25,DenmarkSuperligaen,74,6.143000000000001,0.08301351351351352
adj_nr,19,FinlandVeikkausliiga,80,6.114999999999999,0.07643749999999999
adj_nr,19,SpainSegunda,104,5.778999999999999,0.05556730769230768
adj,15,FinlandVeikkausliiga,68,5.758,0.0846764705882353
adj,25,FinlandVeikkausliiga,64,5.518,0.08621875
adj_nr,19,AustriaBundesliga,89,5.4129999999999985,0.060820224719101104
adj,15,AustriaBundesliga,76,5.398,0.07102631578947367
adj,19,AustriaBundesliga,74,5.245999999999999,0.07089189189189188
adj_nr,30,ItalySerieA,234,4.771999999999999,0.02039316239316239
adj_nr,25,HungaryNBI,94,4.637,0.04932978723404255
adj,15,PortugalPrimeiraLiga,160,4.585,0.02865625
adj,25,PortugalPrimeiraLiga,133,4.556,0.03425563909774436
adj_nr,19,DenmarkSuperligaen,72,4.481,0.06223611111111111
adj,30,FranceLigue1,164,4.368,0.026634146341463417
adj,30,NorwayEliteserien,112,4.294,0.03833928571428571
adj_nr,30,HungaryNBI,125,3.839999999999999,0.03071999999999999
adj_nr,25,SpainSegunda,96,3.7909999999999995,0.03948958333333333
adj_nr,15,CzechiaFirstLeague,130,3.5039999999999996,0.02695384615384615
adj_nr,30,ScotlandPremiership,163,3.4859999999999993,0.021386503067484658
adj_nr,25,PortugalPrimeiraLiga,148,3.4029999999999996,0.02299324324324324
adj_nr,25,SwitzerlandChallengeLeague,7,3.356,0.4794285714285714
adj_nr,30,FinlandVeikkausliiga,44,3.283,0.07461363636363637
adj_nr,15,EnglandChampionship,267,3.2350000000000003,0.012116104868913858
adj,15,SwitzerlandSuperLeague,122,3.2270000000000003,0.02645081967213115
adj,30,SwitzerlandSuperLeague,101,3.127,0.030960396039603957
adj_nr,19,PolandILiga,10,3.0439999999999996,0.30439999999999995
adj,15,ScotlandPremiership,160,2.972999999999999,0.018581249999999994
adj_nr,19,Turkiye1Lig,10,2.97,0.29700000000000004
adj_nr,15,SwitzerlandChallengeLeague,12,2.958,0.24650000000000002
adj,19,ItalySerieA,224,2.772999999999999,0.01237946428571428
adj,30,ScotlandPremiership,164,2.758999999999999,0.01682317073170731
adj_nr,30,CroatiaHNL,107,2.7569999999999997,0.025766355140186912
adj_nr,15,AustriaBundesliga,83,2.752999999999999,0.03316867469879516
adj_nr,25,AustriaBundesliga,68,2.686999999999999,0.039514705882352924
adj,19,SpainSegunda,98,2.6249999999999987,0.026785714285714274
adj_nr,30,SwitzerlandChallengeLeague,8,2.593,0.324125
adj,25,DenmarkDivision1,5,2.505,0.501
adj_nr,19,ItalySerieA,215,2.494999999999999,0.011604651162790695
adj,25,BelgiumFirstDivisionA,120,2.411999999999999,0.020099999999999993
adj,19,FranceLigue1,173,2.3689999999999998,0.013693641618497109
adj_nr,15,Turkiye1Lig,7,2.3310000000000004,0.3330000000000001
adj_nr,15,ItalySerieB,100,2.2239999999999993,0.022239999999999992
adj,19,ScotlandPremiership,159,2.0989999999999993,0.013201257861635216
adj_nr,19,HungaryNBI,84,2.067,0.02460714285714286
adj,19,SwitzerlandChallengeLeague,9,2.066,0.22955555555555554
adj,15,PolandILiga,11,2.0439999999999996,0.18581818181818177
adj,25,SwitzerlandSuperLeague,111,1.9879999999999998,0.01790990990990991
adj_nr,30,BelgiumFirstDivisionA,105,1.8119999999999987,0.017257142857142846
adj_nr,30,SwitzerlandSuperLeague,97,1.599,0.016484536082474226
adj_nr,19,SwitzerlandChallengeLeague,6,1.4789999999999999,0.24649999999999997
adj_nr,19,GermanyBundesligaI,148,1.4619999999999997,0.009878378378378377
adj_nr,15,BelgiumFirstDivisionB,8,1.456,0.182
adj_nr,25,DenmarkDivision1,6,1.444,0.24066666666666667
adj_nr,15,BelgiumFirstDivisionA,147,1.4299999999999988,0.009727891156462576
adj_nr,30,Turkiye1Lig,6,1.4060000000000001,0.23433333333333337
adj,25,Turkiye1Lig,8,1.3310000000000002,0.16637500000000002
adj_nr,25,Turkiye1Lig,8,1.3310000000000002,0.16637500000000002
adj,30,FinlandVeikkausliiga,48,1.169,0.024354166666666666
adj,15,Turkiye1Lig,10,1.1640000000000001,0.11640000000000002
adj,19,Turkiye1Lig,10,1.1640000000000001,0.11640000000000002
adj,15,SwitzerlandChallengeLeague,12,1.081,0.09008333333333333
adj_nr,19,ScotlandPremiership,155,1.0539999999999996,0.006799999999999997
adj,15,BelgiumFirstDivisionA,142,0.9559999999999993,0.0067323943661971785
adj_nr,30,SwedenAllsvenskan,108,0.9519999999999993,0.008814814814814808
adj_nr,25,BelgiumFirstDivisionA,127,0.8909999999999991,0.007015748031496056
adj,15,ItalySerieB,97,0.7629999999999992,0.00786597938144329
adj,25,CzechiaFirstLeague,119,0.7489999999999997,0.006294117647058821
adj_nr,25,DenmarkSuperligaen,74,0.744,0.010054054054054054
adj_nr,15,SwitzerlandSuperLeague,113,0.7390000000000003,0.00653982300884956
adj,19,RomaniaLigaI,113,0.7200000000000002,0.006371681415929205
adj_nr,19,DenmarkDivision1,3,0.6259999999999999,0.20866666666666664
adj_nr,30,AustriaBundesliga,79,0.6199999999999997,0.00784810126582278
adj_nr,15,RomaniaLigaI,100,0.6170000000000004,0.0061700000000000045
adj,30,Turkiye1Lig,5,0.5800000000000001,0.11600000000000002
adj_nr,30,DenmarkDivision1,5,0.5349999999999999,0.10699999999999998
adj,30,BelgiumFirstDivisionB,9,0.5089999999999999,0.056555555555555546
adj,30,DenmarkDivision1,5,0.48,0.096
adj,25,SwitzerlandChallengeLeague,8,0.47899999999999987,0.059874999999999984
adj,15,BelgiumFirstDivisionB,9,0.45599999999999996,0.050666666666666665
adj,19,PolandILiga,9,0.33899999999999997,0.03766666666666666
adj_nr,15,FinlandVeikkausliiga,77,0.2969999999999997,0.0038571428571428533
adj,30,CroatiaHNL,117,0.27999999999999936,0.0023931623931623875
adj,15,RomaniaLigaI,93,0.2300000000000002,0.002473118279569895
adj_nr,19,NorwayEliteserien,105,0.027999999999998915,0.0002666666666666563
adj_nr,15,ScotlandPremiership,165,-0.10300000000000109,-0.0006242424242424309
adj,25,ScotlandPremiership,156,-0.14500000000000113,-0.0009294871794871867
adj,19,BelgiumFirstDivisionB,6,-0.41300000000000003,-0.06883333333333334
adj_nr,19,BelgiumFirstDivisionB,6,-0.41300000000000003,-0.06883333333333334
adj_nr,19,SwitzerlandSuperLeague,111,-0.42900000000000005,-0.0038648648648648655
adj_nr,25,ScotlandPremiership,159,-0.4480000000000015,-0.0028176100628930912
adj,30,SpainSegunda,82,-0.48200000000000087,-0.005878048780487815
adj_nr,30,BelgiumFirstDivisionB,10,-0.4910000000000001,-0.04910000000000001
adj_nr,15,PolandILiga,10,-0.6400000000000001,-0.06400000000000002
adj_nr,19,RomaniaLigaI,116,-0.6600000000000001,-0.005689655172413794
adj,30,PolandILiga,10,-0.6699999999999999,-0.06699999999999999
adj_nr,30,SpainSegunda,84,-0.6990000000000007,-0.00832142857142858
adj,19,ItalySerieB,78,-0.8780000000000014,-0.011256410256410275
adj,15,EnglandPremierLeague,264,-0.931,-0.0035265151515151516
adj,15,DenmarkDivision1,1,-1.0,-1.0
adj_nr,15,DenmarkDivision1,3,-1.167,-0.389
adj,19,DenmarkDivision1,3,-1.207,-0.4023333333333334
adj,25,NorwayEliteserien,167,-1.231000000000001,-0.007371257485029946
adj,19,Austria2.Liga,7,-1.253,-0.179
adj,30,SwitzerlandChallengeLeague,8,-1.302,-0.16275
adj,25,BelgiumFirstDivisionB,9,-1.479,-0.16433333333333333
adj_nr,25,BelgiumFirstDivisionB,9,-1.479,-0.16433333333333333
adj_nr,19,EnglandPremierLeague,230,-1.7159999999999997,-0.0074608695652173904
adj_nr,30,EnglandPremierLeague,275,-1.7769999999999997,-0.0064618181818181806
adj,30,FranceLigue2,116,-1.8540000000000003,-0.01598275862068966
adj,30,SwedenAllsvenskan,112,-1.993000000000001,-0.017794642857142867
adj_nr,25,SwitzerlandSuperLeague,96,-2.0120000000000005,-0.02095833333333334
adj,30,AustriaBundesliga,61,-2.2220000000000004,-0.036426229508196725
adj,30,BelgiumFirstDivisionA,114,-2.3550000000000013,-0.020657894736842118
adj,19,EnglandPremierLeague,238,-2.3689999999999998,-0.009953781512605042
adj_nr,25,PolandILiga,8,-2.424,-0.303
adj,25,PolandILiga,8,-2.437,-0.304625
adj_nr,25,ItalySerieB,89,-2.720000000000001,-0.030561797752809
adj,19,FranceLigue2,113,-2.83,-0.02504424778761062
adj,19,HungaryNBI,89,-2.8370000000000006,-0.03187640449438203
adj_nr,19,Austria2.Liga,7,-3.059,-0.437
adj,25,Austria2.Liga,7,-3.059,-0.437
adj_nr,25,Austria2.Liga,9,-3.253,-0.36144444444444446
adj,25,AustriaBundesliga,63,-3.3360000000000007,-0.052952380952380966
adj_nr,30,GermanyBundesligaI,135,-3.5480000000000005,-0.026281481481481486
adj_nr,15,SwedenAllsvenskan,134,-3.5800000000000005,-0.026716417910447765
adj,30,GermanyBundesligaI,142,-3.74,-0.026338028169014087
adj,25,SpainSegunda,90,-3.899000000000001,-0.043322222222222234
adj_nr,30,Austria2.Liga,6,-4.039,-0.6731666666666666
adj,30,ItalySerieA,256,-4.111000000000001,-0.016058593750000003
adj,15,Austria2.Liga,10,-4.253,-0.4253
adj_nr,30,PolandILiga,14,-4.67,-0.3335714285714286
adj_nr,25,CroatiaHNL,99,-4.864000000000001,-0.04913131313131314
adj_nr,15,FranceLigue2,131,-4.947,-0.03776335877862595
adj_nr,19,ItalySerieB,87,-4.956000000000001,-0.056965517241379326
adj_nr,19,FranceLigue2,107,-4.992,-0.046654205607476636
adj_nr,15,Austria2.Liga,7,-5.02,-0.7171428571428571
adj,30,Austria2.Liga,7,-5.039,-0.7198571428571429
adj,15,FranceLigue1,163,-5.063000000000001,-0.031061349693251538
adj,25,GermanyBundesligaI,153,-5.266000000000001,-0.034418300653594774
adj_nr,15,NorwayEliteserien,119,-5.299000000000001,-0.044529411764705894
adj,15,SwedenAllsvenskan,131,-5.311000000000001,-0.040541984732824436
adj,19,GermanyBundesligaI,171,-5.3580000000000005,-0.03133333333333334
adj_nr,25,NorwayEliteserien,158,-5.361000000000001,-0.033930379746835444
adj_nr,25,EnglandPremierLeague,256,-5.465,-0.02134765625
adj,19,CroatiaHNL,115,-5.681000000000001,-0.049400000000000006
adj,25,ItalySerieB,86,-5.856000000000002,-0.06809302325581397
adj_nr,25,SwedenAllsvenskan,123,-7.023000000000001,-0.05709756097560976
adj_nr,15,FranceLigue1,153,-7.027,-0.0459281045751634
adj_nr,19,SwedenAllsvenskan,127,-7.066000000000001,-0.055637795275590554
adj,30,EnglandPremierLeague,269,-7.0809999999999995,-0.02632342007434944
