League,n_matches,n_corner_events,n_clipped_min,n_clipped_max,pct_clipped_min,pct_clipped_max,pct_clipped_total,n_repeaters,repeater_rate,n_min_rate_floor_hit,pct_min_rate_floor_hit,match_corners_raw_total,match_corners_adj_total,raw_vs_adj_ratio
Austria2.Liga,2401,24112,0,3,0.0,0.01,0.01,3324,13.79,0,0.0,24109.0,24135.23180891227,1.0011
AustriaBundesliga,2056,20584,0,45,0.0,0.22,0.22,2881,14.0,0,0.0,20575.0,20729.334169203903,1.0075
BelgiumFirstDivisionA,3069,30678,0,0,0.0,0.0,0.0,4006,13.06,0,0.0,30672.0,30672.56317954644,1.0
BelgiumFirstDivisionB,1840,18517,0,0,0.0,0.0,0.0,2617,14.13,0,0.0,18517.0,18567.059004226918,1.0027
ColombiaPrimeraA,4497,41065,0,1,0.0,0.0,0.0,5259,12.81,0,0.0,41048.0,41097.74214534175,1.0012
ColombiaPrimeraB,2927,26402,0,0,0.0,0.0,0.0,3194,12.1,0,0.0,26396.0,26372.127025954425,0.9991
Croatia1.NL,1933,17887,0,2,0.0,0.01,0.01,2405,13.45,0,0.0,17885.0,18035.84642206377,1.0084
CroatiaHNL,1978,18683,0,29,0.0,0.16,0.16,2477,13.26,0,0.0,18681.0,19039.924464004773,1.0192
Czechia2.Liga,2518,26591,0,3,0.0,0.01,0.01,3718,13.98,0,0.0,26584.0,26664.56035610038,1.003
CzechiaFirstLeague,2966,30705,0,23,0.0,0.07,0.07,4250,13.84,2,0.01,30705.0,30646.15994355204,0.9981
DenmarkDivision1,2090,20399,0,0,0.0,0.0,0.0,2746,13.46,0,0.0,20395.0,20487.552946032814,1.0045
DenmarkSuperligaen,2309,22753,0,5,0.0,0.02,0.02,3047,13.39,0,0.0,22743.0,22777.72055252483,1.0015
EnglandChampionship,6116,62335,0,10,0.0,0.02,0.02,8681,13.93,0,0.0,62315.0,61993.32145965603,0.9948
EnglandLeague1,5948,61804,0,0,0.0,0.0,0.0,8764,14.18,0,0.0,61781.0,61598.633838274916,0.997
EnglandLeague2,5987,60129,0,2,0.0,0.0,0.0,8488,14.12,0,0.0,60108.0,59932.82700080486,0.9971
EnglandPremierLeague,4172,43181,0,37,0.0,0.09,0.09,6266,14.51,7,0.02,43170.0,43286.543803728695,1.0027
FinlandVeikkausliiga,2001,19798,0,2,0.0,0.01,0.01,2765,13.97,0,0.0,19796.0,19895.525761645422,1.005
FinlandYkkosliiga,1565,15936,0,1,0.0,0.01,0.01,2300,14.43,0,0.0,15933.0,15939.085344042802,1.0004
FranceLigue1,3864,36922,0,9,0.0,0.02,0.02,4811,13.03,0,0.0,36901.0,37081.07134537453,1.0049
FranceLigue2,3915,36066,0,0,0.0,0.0,0.0,4521,12.54,0,0.0,36058.0,35846.73081407654,0.9941
