rule,n_bets,bet_pct,total_pnl,roi,threshold,rule_family
diff_sup >= 0.0,9768,1.0,-172.19400000000007,-0.017628378378378384,0.0,diff_sup
diff_sup >= 0.05,9067,0.9282350532350533,-121.56000000000006,-0.01340686004191023,0.05,diff_sup
diff_sup >= 0.1,8317,0.8514537264537264,-96.32900000000008,-0.011582181074906828,0.1,diff_sup
diff_sup >= 0.15,7599,0.777948402948403,-54.40300000000008,-0.007159231477826039,0.15,diff_sup
diff_sup >= 0.2,6901,0.7064905814905815,4.545999999999935,0.0006587451094044248,0.2,diff_sup
diff_sup >= 0.25,6223,0.637080262080262,44.06699999999995,0.007081311264663338,0.25,diff_sup
diff_sup >= 0.3,5600,0.5733005733005733,114.70799999999997,0.020483571428571424,0.3,diff_sup
diff_sup >= 0.35,4976,0.5094185094185094,88.01799999999994,0.017688504823151114,0.35,diff_sup
diff_sup >= 0.4,4400,0.45045045045045046,112.73099999999998,0.025620681818181813,0.4,diff_sup
diff_sup >= 0.45,3916,0.4009009009009009,114.53099999999996,0.029246935648621034,0.45,diff_sup
diff_sup >= 0.5,3486,0.3568796068796069,143.43199999999996,0.04114515203671829,0.5,diff_sup
diff_sup >= 0.55,3078,0.3151105651105651,138.37499999999997,0.04495614035087719,0.55,diff_sup
diff_sup >= 0.6,2674,0.2737510237510237,118.972,0.044492146596858635,0.6,diff_sup
diff_sup >= 0.65,2309,0.2363841113841114,108.57799999999999,0.047023819835426584,0.65,diff_sup
diff_sup >= 0.7,1978,0.2024979524979525,123.17499999999998,0.06227249747219413,0.7,diff_sup
diff_sup >= 0.75,1700,0.17403767403767403,95.42499999999998,0.05613235294117646,0.75,diff_sup
diff_sup >= 0.8,1446,0.14803439803439802,82.017,0.05671991701244813,0.8,diff_sup
diff_sup >= 0.85,1234,0.12633087633087633,91.417,0.07408184764991896,0.85,diff_sup
diff_sup >= 0.9,1032,0.10565110565110565,75.97699999999998,0.07362112403100773,0.9,diff_sup
diff_sup >= 0.95,868,0.08886158886158886,68.04999999999998,0.07839861751152072,0.95,diff_sup
diff_sup >= 1.0,728,0.07452907452907453,66.443,0.09126785714285714,1.0,diff_sup
diff_sup >= 1.05,610,0.06244881244881245,60.73799999999999,0.09957049180327868,1.05,diff_sup
diff_sup >= 1.1,506,0.0518018018018018,60.355999999999995,0.11928063241106718,1.1,diff_sup
diff_sup >= 1.15,419,0.042895167895167896,61.32299999999999,0.14635560859188543,1.15,diff_sup
diff_sup >= 1.2,354,0.03624078624078624,60.831999999999994,0.1718418079096045,1.2,diff_sup
diff_sup >= 1.25,290,0.029688779688779688,45.705,0.15760344827586206,1.25,diff_sup
diff_sup >= 1.3,238,0.024365274365274366,37.232,0.15643697478991597,1.3,diff_sup
diff_sup >= 1.35,196,0.020065520065520065,28.966,0.1477857142857143,1.35,diff_sup
diff_sup >= 1.4,167,0.017096642096642096,18.250999999999998,0.10928742514970058,1.4,diff_sup
