League,League_above,League_below,home_status,team_gamestate,Coefficient,Intercept,sample_mins
Austria2.Liga,AustriaBundesliga,,home,0,0.015739856074696978,0.052438516224166905,92153.0
Austria2.Liga,AustriaBundesliga,,home,1,0.011446561250554734,0.042217558392848416,59040.0
Austria2.Liga,AustriaBundesliga,,home,2,0.014599273144984295,0.06135543271819355,50805.0
Austria2.Liga,AustriaBundesliga,,away,0,0.012954424714318798,0.052614111190478915,92299.0
Austria2.Liga,AustriaBundesliga,,away,1,0.006363409072477175,0.0441738528344516,50853.0
Austria2.Liga,AustriaBundesliga,,away,2,0.010694117673975679,0.05668944378908108,59040.0
AustriaBundesliga,,Austria2.Liga,home,0,0.018193782083534102,0.05293378482866506,81795.0
AustriaBundesliga,,Austria2.Liga,home,1,0.01435243118670755,0.04148785456943622,50754.0
AustriaBundesliga,,Austria2.Liga,home,2,0.016421171124020598,0.0626549654745321,42337.0
AustriaBundesliga,,Austria2.Liga,away,0,0.014406754686167946,0.050818736945338124,81776.0
AustriaBundesliga,,Austria2.Liga,away,1,0.010191497105819718,0.04163592067346144,42338.0
AustriaBundesliga,,Austria2.Liga,away,2,0.013733202545717551,0.058433088233970726,50675.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,home,0,0.01581135744417771,0.05411495504811424,125047.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,home,1,0.012673472674189947,0.039890654274775846,80493.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,home,2,0.016286538793310577,0.06379491987056761,61687.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,away,0,0.013429756005084514,0.0503163652769938,125009.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,away,1,0.009981293157715638,0.03967504742517978,61823.0
BelgiumFirstDivisionA,,BelgiumFirstDivisionB,away,2,0.014849079568356367,0.06167118563508558,80395.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,home,0,0.017564459274743843,0.050654520026531015,78226.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,home,1,0.00903111130332833,0.041600899719576534,48112.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,home,2,0.016479727852579673,0.06463600218737162,41720.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,away,0,0.013444582073308689,0.053327865465088824,78345.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,away,1,0.006717656780319061,0.040686853723188365,41750.0
BelgiumFirstDivisionB,BelgiumFirstDivisionA,,away,2,0.013700446449109525,0.06099639446728339,48060.0
ColombiaPrimeraA,,,home,0,0.01732785975310038,0.050821112801847895,211925.0
ColombiaPrimeraA,,,home,1,0.01179436765509446,0.03067205733347287,124274.0
ColombiaPrimeraA,,,home,2,0.01985978892217544,0.06492442282307316,69224.0
ColombiaPrimeraA,,,away,0,0.01328575827768503,0.04386200812896566,212025.0
ColombiaPrimeraA,,,away,1,0.008223905492833493,0.030447269009152185,69224.0
ColombiaPrimeraA,,,away,2,0.014450224666778068,0.05875764275737298,124174.0
ColombiaPrimeraB,,,home,0,0.019229673993554134,0.04822933601855335,131784.0
ColombiaPrimeraB,,,home,1,0.01195856333767308,0.029704691040785616,80323.0
ColombiaPrimeraB,,,home,2,0.020457861842701087,0.06500112164617225,48297.0
ColombiaPrimeraB,,,away,0,0.013820603605551339,0.045176077170290145,131682.0
ColombiaPrimeraB,,,away,1,0.008314613956015121,0.030425249670044455,48297.0
ColombiaPrimeraB,,,away,2,0.019181326940711334,0.06125317358408994,80134.0
Croatia1.NL,CroatiaHNL,,home,0,0.01737654081984697,0.04625967044865658,79300.0
Croatia1.NL,CroatiaHNL,,home,1,0.011145879206407394,0.03575188444584275,50410.0
Croatia1.NL,CroatiaHNL,,home,2,0.014934070701831609,0.05948686716511586,30261.0
Croatia1.NL,CroatiaHNL,,away,0,0.010837416495661193,0.0465102957794091,79279.0
Croatia1.NL,CroatiaHNL,,away,1,0.006929376245934315,0.03744151309010907,30282.0
Croatia1.NL,CroatiaHNL,,away,2,0.011053340141734253,0.05571122899163121,50410.0
CroatiaHNL,,Croatia1.NL,home,0,0.017271662004301327,0.050911346186672854,82213.0
CroatiaHNL,,Croatia1.NL,home,1,0.013909678500684829,0.034434853645724,52910.0
CroatiaHNL,,Croatia1.NL,home,2,0.017384139705753886,0.060780454873224574,35468.0
CroatiaHNL,,Croatia1.NL,away,0,0.01263123325266787,0.04697452328917127,81901.0
CroatiaHNL,,Croatia1.NL,away,1,0.009673235100638803,0.036697474531081097,35468.0
CroatiaHNL,,Croatia1.NL,away,2,0.01692533878867254,0.06134760970420463,52834.0
Czechia2.Liga,CzechiaFirstLeague,,home,0,0.01749958395896783,0.05502320205307058,101953.0
Czechia2.Liga,CzechiaFirstLeague,,home,1,0.010914858084599818,0.043174557514353146,70663.0
Czechia2.Liga,CzechiaFirstLeague,,home,2,0.017805418284697963,0.0629211656263202,44689.0
Czechia2.Liga,CzechiaFirstLeague,,away,0,0.013905840287780214,0.05532854176907563,101953.0
Czechia2.Liga,CzechiaFirstLeague,,away,1,0.009083573200659318,0.04490535236659957,44689.0
Czechia2.Liga,CzechiaFirstLeague,,away,2,0.012119392957674176,0.061282132464411526,70663.0
CzechiaFirstLeague,,Czechia2.Liga,home,0,0.018519179305919887,0.05614240757652521,115988.0
CzechiaFirstLeague,,Czechia2.Liga,home,1,0.012251854135493626,0.041538388867785256,81005.0
CzechiaFirstLeague,,Czechia2.Liga,home,2,0.018733414186441057,0.06565480842290941,54014.0
CzechiaFirstLeague,,Czechia2.Liga,away,0,0.016870903716949034,0.05397049527073116,115874.0
CzechiaFirstLeague,,Czechia2.Liga,away,1,0.01204907353903194,0.04264376769572334,54188.0
CzechiaFirstLeague,,Czechia2.Liga,away,2,0.014906080554657145,0.06245084874695403,80751.0
DenmarkDivision1,DenmarkSuperligaen,,home,0,0.014987188441456033,0.05065193183441906,80950.0
DenmarkDivision1,DenmarkSuperligaen,,home,1,0.009896961717473127,0.04004546697804955,53349.0
DenmarkDivision1,DenmarkSuperligaen,,home,2,0.01724799235148024,0.058992430929055706,42474.0
DenmarkDivision1,DenmarkSuperligaen,,away,0,0.01466318380022126,0.05098995091900866,80687.0
DenmarkDivision1,DenmarkSuperligaen,,away,1,0.008813444659065537,0.040867279024803686,42559.0
DenmarkDivision1,DenmarkSuperligaen,,away,2,0.012588271434793175,0.05964534979701214,53333.0
DenmarkSuperligaen,,DenmarkDivision1,home,0,0.01605819997315811,0.05305576469335153,92539.0
DenmarkSuperligaen,,DenmarkDivision1,home,1,0.009460187767473828,0.038651436088484814,61634.0
DenmarkSuperligaen,,DenmarkDivision1,home,2,0.017653528349597658,0.062304746995918425,45087.0
DenmarkSuperligaen,,DenmarkDivision1,away,0,0.012491379500792193,0.050876938776165115,92415.0
DenmarkSuperligaen,,DenmarkDivision1,away,1,0.008950486916461265,0.039851684066681964,45087.0
DenmarkSuperligaen,,DenmarkDivision1,away,2,0.015808575289410418,0.06140373473807826,61564.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,home,0,0.018435406663776743,0.055491683129682084,254792.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,home,1,0.014301734432799463,0.04144238907011276,158728.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,home,2,0.020790200917140067,0.06716255427105869,115394.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,away,0,0.013068512980442858,0.05068544681870549,254990.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,away,1,0.011820172862595986,0.03941644400036041,115502.0
EnglandChampionship,EnglandPremierLeague,EnglandLeague1,away,2,0.019794943313659143,0.06292159147858668,158325.0
EnglandLeague1,EnglandChampionship,,home,0,0.018459037290031413,0.05492912148048542,250436.0
EnglandLeague1,EnglandChampionship,,home,1,0.01255580769585756,0.04386057450001436,156364.0
EnglandLeague1,EnglandChampionship,,home,2,0.019328247182244743,0.06480259928099322,118604.0
EnglandLeague1,EnglandChampionship,,away,0,0.017133506394835157,0.05431601506353387,250377.0
EnglandLeague1,EnglandChampionship,,away,1,0.01042183628035006,0.04312673391445957,118805.0
EnglandLeague1,EnglandChampionship,,away,2,0.018569558058220224,0.06197177519824412,156028.0
EnglandLeague2,,,home,0,0.01631465170702514,0.05373830555130926,256023.0
EnglandLeague2,,,home,1,0.010275649865381284,0.044212888351830126,154981.0
EnglandLeague2,,,home,2,0.02012444362224679,0.061645800375493956,117155.0
EnglandLeague2,,,away,0,0.015631637522454896,0.05167143216416369,255772.0
EnglandLeague2,,,away,1,0.012171262806878474,0.041440616570564456,117155.0
EnglandLeague2,,,away,2,0.014955721237255495,0.05820380073297888,154649.0
EnglandPremierLeague,,EnglandChampionship,home,0,0.01806785362518717,0.05609612962964374,166066.0
EnglandPremierLeague,,EnglandChampionship,home,1,0.012561894659134334,0.04130385736580342,112620.0
EnglandPremierLeague,,EnglandChampionship,home,2,0.02225121259151896,0.0677987823211801,81443.0
EnglandPremierLeague,,EnglandChampionship,away,0,0.013988048356926564,0.05264622345345143,165847.0
EnglandPremierLeague,,EnglandChampionship,away,1,0.009677990175188448,0.03990968757226587,81558.0
EnglandPremierLeague,,EnglandChampionship,away,2,0.015322696373197671,0.06369901650515346,112239.0
FinlandVeikkausliiga,,FinlandYkkosliiga,home,0,0.0168287079959735,0.05072944674958949,83924.0
FinlandVeikkausliiga,,FinlandYkkosliiga,home,1,0.011260563797933712,0.04002279949000656,53138.0
FinlandVeikkausliiga,,FinlandYkkosliiga,home,2,0.018597188070582808,0.0623631795218391,38437.0
FinlandVeikkausliiga,,FinlandYkkosliiga,away,0,0.01568050552111816,0.05172636636827879,83885.0
FinlandVeikkausliiga,,FinlandYkkosliiga,away,1,0.011570760200678274,0.038882672969269914,38452.0
FinlandVeikkausliiga,,FinlandYkkosliiga,away,2,0.017116110313290824,0.06353790866268884,53065.0
FinlandYkkosliiga,FinlandVeikkausliiga,,home,0,0.015432608642678,0.0520641143903747,60930.0
FinlandYkkosliiga,FinlandVeikkausliiga,,home,1,0.007997690585389535,0.04305760800886057,44449.0
FinlandYkkosliiga,FinlandVeikkausliiga,,home,2,0.012048322212453416,0.060098197168487875,29973.0
FinlandYkkosliiga,FinlandVeikkausliiga,,away,0,0.014070723909306436,0.055338190855478385,60930.0
FinlandYkkosliiga,FinlandVeikkausliiga,,away,1,0.009005507849118757,0.044172537006216324,29973.0
FinlandYkkosliiga,FinlandVeikkausliiga,,away,2,0.01495441191559299,0.06337264549011717,44449.0
FranceLigue1,,FranceLigue2,home,0,0.014798283499567674,0.052373762762129475,159165.0
FranceLigue1,,FranceLigue2,home,1,0.01001223767996511,0.03650537929215793,104525.0
FranceLigue1,,FranceLigue2,home,2,0.015803435632386585,0.06465015691641697,74352.0
FranceLigue1,,FranceLigue2,away,0,0.011789198376402334,0.04710169595417129,159256.0
FranceLigue1,,FranceLigue2,away,1,0.009556638915224002,0.034867419095475166,74472.0
FranceLigue1,,FranceLigue2,away,2,0.01113264080500953,0.059428951105083096,104217.0
FranceLigue2,FranceLigue1,,home,0,0.02031809598415648,0.04934842472289074,174429.0
FranceLigue2,FranceLigue1,,home,1,0.011889954364697914,0.03506696894748981,97683.0
FranceLigue2,FranceLigue1,,home,2,0.020185352508324945,0.06217382330014608,72152.0
FranceLigue2,FranceLigue1,,away,0,0.014860394665121335,0.04686957542455935,174366.0
FranceLigue2,FranceLigue1,,away,1,0.00963705497998401,0.03359814708630623,72152.0
FranceLigue2,FranceLigue1,,away,2,0.01917586262584134,0.059105395598872595,97649.0
GermanyBundesligaII,GermanyBundesligaI,,home,0,0.016616793217841642,0.05428470528641091,138230.0
GermanyBundesligaII,GermanyBundesligaI,,home,1,0.006370857629525473,0.044352765681372405,87594.0
GermanyBundesligaII,GermanyBundesligaI,,home,2,0.016151343224475943,0.06382239612674931,64932.0
GermanyBundesligaII,GermanyBundesligaI,,away,0,0.01208562743420364,0.04974102090018934,138247.0
GermanyBundesligaII,GermanyBundesligaI,,away,1,0.008435481428411789,0.04056949130096678,64932.0
GermanyBundesligaII,GermanyBundesligaI,,away,2,0.013976474804111927,0.059718486788672885,87577.0
GermanyBundesligaI,,GermanyBundesligaII,home,0,0.015728697706979412,0.0509359556694811,128430.0
GermanyBundesligaI,,GermanyBundesligaII,home,1,0.012460377476029301,0.039838000974185626,94452.0
GermanyBundesligaI,,GermanyBundesligaII,home,2,0.015128907397462484,0.06324717210455302,66994.0
GermanyBundesligaI,,GermanyBundesligaII,away,0,0.011032087298966823,0.04761826143419641,128153.0
GermanyBundesligaI,,GermanyBundesligaII,away,1,0.008532097911387775,0.03920054410779786,67292.0
GermanyBundesligaI,,GermanyBundesligaII,away,2,0.01273318020964928,0.05870167243282851,94043.0
GreeceSuperLeague1,,GreeceSuperLeague2,home,0,0.019624096380596135,0.04844750116249659,112083.0
GreeceSuperLeague1,,GreeceSuperLeague2,home,1,0.01328182165472641,0.03408662430314355,68333.0
GreeceSuperLeague1,,GreeceSuperLeague2,home,2,0.018536792322343953,0.05924438684503392,46061.0
GreeceSuperLeague1,,GreeceSuperLeague2,away,0,0.01564833079418282,0.046090131378583615,112089.0
GreeceSuperLeague1,,GreeceSuperLeague2,away,1,0.011054064875658073,0.031344467096375006,46208.0
GreeceSuperLeague1,,GreeceSuperLeague2,away,2,0.01368177053986953,0.053187774260359914,68083.0
GreeceSuperLeague2,GreeceSuperLeague1,,home,0,0.017143116629850488,0.04487234843481754,123805.0
GreeceSuperLeague2,GreeceSuperLeague1,,home,1,0.012012424591115532,0.03284956732147185,76200.0
GreeceSuperLeague2,GreeceSuperLeague1,,home,2,0.015114950363560194,0.05332059479453731,45324.0
GreeceSuperLeague2,GreeceSuperLeague1,,away,0,0.011797741327391685,0.04041839720942104,123705.0
GreeceSuperLeague2,GreeceSuperLeague1,,away,1,0.008333186315472916,0.030941643899927644,45376.0
GreeceSuperLeague2,GreeceSuperLeague1,,away,2,0.012702010734095567,0.04809574178925525,75569.0
HungaryNBII,HungaryNBI,,home,0,0.01603942219313297,0.05188377094358342,128224.0
HungaryNBII,HungaryNBI,,home,1,0.010063367107862157,0.04230734833418999,78702.0
HungaryNBII,HungaryNBI,,home,2,0.01710167862241467,0.06045559706599621,58195.0
HungaryNBII,HungaryNBI,,away,0,0.011000706452806782,0.04962759444516933,128223.0
HungaryNBII,HungaryNBI,,away,1,0.009773738665192407,0.04066858007819628,58195.0
HungaryNBII,HungaryNBI,,away,2,0.014290935967136367,0.058821120627167184,78606.0
HungaryNBI,,HungaryNBII,home,0,0.01967519662140952,0.05173410438930566,90477.0
HungaryNBI,,HungaryNBII,home,1,0.0147295296662012,0.03947674192143445,56399.0
HungaryNBI,,HungaryNBII,home,2,0.01772041050557863,0.0649836308545349,41975.0
HungaryNBI,,HungaryNBII,away,0,0.015956996990977905,0.05069093678964867,90452.0
HungaryNBI,,HungaryNBII,away,1,0.009056480988186622,0.03924941168813605,42077.0
HungaryNBI,,HungaryNBII,away,2,0.01764440722797845,0.06256366255087367,56322.0
ItalySerieA,,ItalySerieB,home,0,0.019512920361641584,0.05365230678448565,171221.0
ItalySerieA,,ItalySerieB,home,1,0.01318963561977076,0.036964252518221975,104122.0
ItalySerieA,,ItalySerieB,home,2,0.021328088910664324,0.0668687704731265,81382.0
ItalySerieA,,ItalySerieB,away,0,0.013798553277399714,0.04890891116122777,171348.0
ItalySerieA,,ItalySerieB,away,1,0.008644027833537522,0.03677945883755123,81419.0
ItalySerieA,,ItalySerieB,away,2,0.015843716425204487,0.06427325625398174,104055.0
ItalySerieB,ItalySerieA,,home,0,0.017979227157136575,0.05180818722974788,193345.0
ItalySerieB,ItalySerieA,,home,1,0.013809088903282656,0.035343862138683804,112726.0
ItalySerieB,ItalySerieA,,home,2,0.023524340599638587,0.06598962046055401,75938.0
ItalySerieB,ItalySerieA,,away,0,0.01355234701883655,0.048638748421264345,193374.0
ItalySerieB,ItalySerieA,,away,1,0.009367540843993005,0.03530466126624492,75938.0
ItalySerieB,ItalySerieA,,away,2,0.013468624203132152,0.061683780597959724,112600.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,home,0,0.014715424343382043,0.05308926374553905,153321.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,home,1,0.011595271858661818,0.04199340405287092,116375.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,home,2,0.01913038377843592,0.06117169079726351,78358.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,away,0,0.012945447204741603,0.05271293559271743,153623.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,away,1,0.01003611293621581,0.043480218185357626,78510.0
NetherlandsEersteDivisie,NetherlandsEredivisie,,away,2,0.013520967113570837,0.06197940324586646,116309.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,home,0,0.016918187757923718,0.05486851141709273,126380.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,home,1,0.01255451651040432,0.04490031026491765,94502.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,home,2,0.01678471573379497,0.06485379443475146,66184.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,away,0,0.0141288079370775,0.053571295969766834,126083.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,away,1,0.010568108166833772,0.04220833353628577,66210.0
NetherlandsEredivisie,,NetherlandsEersteDivisie,away,2,0.013738154272426127,0.05982647413278286,93997.0
NorwayDivision1,NorwayEliteserien,,home,0,0.013355503054097747,0.05547215328028909,103981.0
NorwayDivision1,NorwayEliteserien,,home,1,0.013964215715094713,0.04124786918581558,76235.0
NorwayDivision1,NorwayEliteserien,,home,2,0.017911859013283984,0.0689353292570147,54591.0
NorwayDivision1,NorwayEliteserien,,away,0,0.01331272290520153,0.053694933591091655,104036.0
NorwayDivision1,NorwayEliteserien,,away,1,0.008363797568676981,0.042221185372883,54591.0
NorwayDivision1,NorwayEliteserien,,away,2,0.013761309475091313,0.0660024235560196,76180.0
NorwayEliteserien,,NorwayDivision1,home,0,0.01914640515471709,0.05427296009965259,105417.0
NorwayEliteserien,,NorwayDivision1,home,1,0.01266486230864178,0.04258481936921227,77394.0
