League,home_match_state,home_corners,away_corners,home_share_pct
Austria2.Liga,leading,2788,3071,47.58
Austria2.Liga,level,5114,4626,52.51
Austria2.Liga,trailing,3109,2250,58.01
AustriaBundesliga,leading,2525,2561,49.65
AustriaBundesliga,level,4709,3855,54.99
AustriaBundesliga,trailing,2601,1795,59.17
BelgiumFirstDivisionA,leading,3836,4228,47.57
BelgiumFirstDivisionA,level,7353,5794,55.93
BelgiumFirstDivisionA,trailing,3947,2446,61.74
BelgiumFirstDivisionB,leading,2209,2618,45.76
BelgiumFirstDivisionB,level,4261,3951,51.89
BelgiumFirstDivisionB,trailing,2686,1703,61.2
ColombiaPrimeraA,leading,4669,6247,42.77
ColombiaPrimeraA,level,12342,8097,60.38
ColombiaPrimeraA,trailing,4834,1967,71.08
ColombiaPrimeraB,leading,2960,3991,42.58
ColombiaPrimeraB,level,7349,5237,58.39
ColombiaPrimeraB,trailing,3357,1381,70.85
Croatia1.NL,leading,2091,2522,45.33
Croatia1.NL,level,4209,3350,55.68
Croatia1.NL,trailing,1914,1081,63.91
CroatiaHNL,leading,2427,2508,49.18
CroatiaHNL,level,4600,3546,56.47
CroatiaHNL,trailing,2023,1375,59.54
Czechia2.Liga,leading,3496,3836,47.68
Czechia2.Liga,level,6293,5098,55.25
Czechia2.Liga,trailing,2988,1917,60.92
CzechiaFirstLeague,leading,4120,4131,49.93
CzechiaFirstLeague,level,7339,5507,57.13
CzechiaFirstLeague,trailing,3536,2318,60.4
DenmarkDivision1,leading,2334,2930,44.34
DenmarkDivision1,level,4351,3871,52.92
DenmarkDivision1,trailing,2500,1742,58.93
DenmarkSuperligaen,leading,2661,3315,44.53
DenmarkSuperligaen,level,5270,4422,54.37
DenmarkSuperligaen,trailing,2797,1803,60.8
EnglandChampionship,leading,7535,8643,46.58
EnglandChampionship,level,15397,12035,56.13
EnglandChampionship,trailing,8069,4372,64.86
EnglandLeague1,leading,7652,8501,47.37
EnglandLeague1,level,14896,12550,54.27
EnglandLeague1,trailing,7863,5029,60.99
EnglandLeague2,leading,7399,8210,47.4
EnglandLeague2,level,14719,12298,54.48
EnglandLeague2,trailing,7521,4674,61.67
EnglandPremierLeague,leading,5654,5937,48.78
EnglandPremierLeague,level,10179,8065,55.79
EnglandPremierLeague,trailing,5287,3357,61.16
FinlandVeikkausliiga,leading,2420,2929,45.24
FinlandVeikkausliiga,level,4628,3997,53.66
FinlandVeikkausliiga,trailing,2399,1494,61.62
FinlandYkkosliiga,leading,2132,2409,46.95
FinlandYkkosliiga,level,3467,3103,52.77
FinlandYkkosliiga,trailing,1808,1319,57.82
FranceLigue1,leading,4466,5477,44.92
FranceLigue1,level,9047,6939,56.59
FranceLigue1,trailing,4794,2604,64.8
FranceLigue2,leading,3888,5026,43.62
FranceLigue2,level,9524,7503,55.93
FranceLigue2,trailing,4721,2312,67.13
GermanyBundesligaII,leading,4098,4763,46.25
GermanyBundesligaII,level,8116,6433,55.78
GermanyBundesligaII,trailing,4307,2549,62.82
GermanyBundesligaI,leading,4567,4702,49.27
GermanyBundesligaI,level,7178,5662,55.9
