sup_bucket,mins,corners,sup_mean,cpm,game_state,side
0,4418.0,171,-1.662155172413793,0.03870529651425984,Drawing,Home
1,4982.0,202,-0.9868067226890755,0.04054596547571256,Drawing,Home
2,5740.0,232,-0.7122222222222222,0.04041811846689895,Drawing,Home
3,5547.0,261,-0.49327433628318584,0.04705246078961601,Drawing,Home
4,5817.0,291,-0.33666666666666667,0.05002578648788035,Drawing,Home
5,5988.0,283,-0.2513793103448276,0.04726118904475618,Drawing,Home
6,6820.0,331,-0.14526315789473684,0.04853372434017595,Drawing,Home
7,5865.0,295,-0.0917948717948718,0.05029838022165388,Drawing,Home
8,4912.0,234,-0.03989473684210526,0.04763843648208469,Drawing,Home
9,6495.0,334,0.042595419847328245,0.05142417244033872,Drawing,Home
10,5042.0,227,0.10606060606060606,0.04502181673938913,Drawing,Home
11,6045.0,330,0.14517241379310344,0.05459057071960298,Drawing,Home
12,6257.0,340,0.18406504065040652,0.05433914016301742,Drawing,Home
13,5729.0,320,0.24727272727272726,0.0558561703613196,Drawing,Home
14,6249.0,375,0.31984375,0.0600096015362458,Drawing,Home
15,5904.0,374,0.383859649122807,0.06334688346883469,Drawing,Home
16,6729.0,417,0.430431654676259,0.061970575122603656,Drawing,Home
17,4301.0,254,0.4846590909090909,0.05905603348058591,Drawing,Home
18,5908.0,352,0.5582758620689655,0.05958023019634394,Drawing,Home
19,4981.0,331,0.6357657657657658,0.06645251957438265,Drawing,Home
20,5843.0,388,0.7050406504065041,0.06640424439500257,Drawing,Home
21,5281.0,370,0.7867521367521367,0.07006248816512024,Drawing,Home
22,4863.0,277,0.8758333333333334,0.05696072383302488,Drawing,Home
23,5277.0,361,0.950695652173913,0.06841008148569262,Drawing,Home
24,6046.0,471,1.054308943089431,0.07790274561693682,Drawing,Home
25,5341.0,381,1.1945378151260504,0.07133495600074892,Drawing,Home
26,4567.0,370,1.3457547169811321,0.08101598423472739,Drawing,Home
27,5076.0,426,1.5595689655172413,0.08392434988179669,Drawing,Home
28,4564.0,385,1.9283620689655172,0.0843558282208589,Drawing,Home
29,4176.0,383,2.5360869565217388,0.09171455938697318,Drawing,Home
0,1331.0,32,-1.662155172413793,0.02404207362885049,Winning,Home
1,1837.0,61,-0.9868067226890755,0.03320631464344039,Winning,Home
2,2092.0,61,-0.7122222222222222,0.029158699808795412,Winning,Home
3,1678.0,48,-0.49327433628318584,0.028605482717520857,Winning,Home
4,1708.0,55,-0.33666666666666667,0.032201405152224825,Winning,Home
5,2254.0,83,-0.2513793103448276,0.03682342502218278,Winning,Home
6,2214.0,74,-0.14526315789473684,0.03342366757000903,Winning,Home
7,2698.0,94,-0.0917948717948718,0.034840622683469234,Winning,Home
8,1749.0,61,-0.03989473684210526,0.03487707261292167,Winning,Home
9,3436.0,127,0.042595419847328245,0.0369615832363213,Winning,Home
10,2502.0,69,0.10606060606060606,0.027577937649880094,Winning,Home
11,2543.0,93,0.14517241379310344,0.036570979158474244,Winning,Home
12,3174.0,122,0.18406504065040652,0.03843730308758664,Winning,Home
13,3084.0,124,0.24727272727272726,0.040207522697795074,Winning,Home
14,3699.0,134,0.31984375,0.036226007028926734,Winning,Home
15,3066.0,137,0.383859649122807,0.044683626875407695,Winning,Home
16,4252.0,163,0.430431654676259,0.0383349012229539,Winning,Home
17,2776.0,106,0.4846590909090909,0.03818443804034582,Winning,Home
18,3782.0,151,0.5582758620689655,0.039925965097831834,Winning,Home
19,3997.0,137,0.6357657657657658,0.03427570678008506,Winning,Home
20,4200.0,170,0.7050406504065041,0.04047619047619048,Winning,Home
21,4508.0,204,0.7867521367521367,0.04525288376220053,Winning,Home
22,3697.0,171,0.8758333333333334,0.04625371923180958,Winning,Home
23,4808.0,222,0.950695652173913,0.04617304492512479,Winning,Home
24,4408.0,220,1.054308943089431,0.0499092558983666,Winning,Home
25,5153.0,271,1.1945378151260504,0.05259072385018436,Winning,Home
26,4850.0,243,1.3457547169811321,0.05010309278350515,Winning,Home
27,5558.0,321,1.5595689655172413,0.057754587981288234,Winning,Home
28,6147.0,370,1.9283620689655172,0.060191963559459896,Winning,Home
29,5931.0,342,2.5360869565217388,0.057663125948406675,Winning,Home
0,5505.0,267,-1.662155172413793,0.048501362397820165,Losing,Home
1,4747.0,222,-0.9868067226890755,0.046766378765536125,Losing,Home
2,3536.0,199,-0.7122222222222222,0.05627828054298643,Losing,Home
3,3762.0,249,-0.49327433628318584,0.06618819776714513,Losing,Home
4,4129.0,243,-0.33666666666666667,0.058852022281424075,Losing,Home
5,3029.0,217,-0.2513793103448276,0.07164080554638494,Losing,Home
6,3895.0,241,-0.14526315789473684,0.061874197689345316,Losing,Home
7,2802.0,197,-0.0917948717948718,0.07030692362598144,Losing,Home
8,2560.0,169,-0.03989473684210526,0.066015625,Losing,Home
9,2782.0,184,0.042595419847328245,0.06613946800862688,Losing,Home
10,2072.0,127,0.10606060606060606,0.061293436293436296,Losing,Home
11,2684.0,189,0.14517241379310344,0.07041728763040238,Losing,Home
12,2507.0,183,0.18406504065040652,0.07299561228560032,Losing,Home
13,1871.0,130,0.24727272727272726,0.06948156066274719,Losing,Home
14,2477.0,164,0.31984375,0.0662091239402503,Losing,Home
15,2100.0,161,0.383859649122807,0.07666666666666666,Losing,Home
16,2519.0,185,0.430431654676259,0.07344184200079397,Losing,Home
17,1467.0,105,0.4846590909090909,0.07157464212678936,Losing,Home
18,1573.0,116,0.5582758620689655,0.07374443738080101,Losing,Home
19,1792.0,125,0.6357657657657658,0.06975446428571429,Losing,Home
20,1896.0,164,0.7050406504065041,0.08649789029535865,Losing,Home
21,1572.0,150,0.7867521367521367,0.09541984732824428,Losing,Home
22,1927.0,178,0.8758333333333334,0.09237156201349248,Losing,Home
23,1079.0,117,0.950695652173913,0.10843373493975904,Losing,Home
24,1489.0,153,1.054308943089431,0.10275352585627938,Losing,Home
25,1056.0,81,1.1945378151260504,0.07670454545454546,Losing,Home
26,885.0,74,1.3457547169811321,0.08361581920903954,Losing,Home
27,634.0,61,1.5595689655172413,0.09621451104100946,Losing,Home
28,547.0,43,1.9283620689655172,0.07861060329067641,Losing,Home
29,1056.0,121,2.5360869565217388,0.11458333333333333,Losing,Home
0,4336.0,116,-2.52,0.026752767527675275,Drawing,Away
1,4640.0,126,-1.9060169491525423,0.027155172413793102,Drawing,Away
2,5134.0,147,-1.5414655172413794,0.028632645111024542,Drawing,Away
3,5002.0,150,-1.3285087719298245,0.029988004798080767,Drawing,Away
4,5165.0,192,-1.1773504273504274,0.03717328170377541,Drawing,Away
5,6508.0,235,-1.035658914728682,0.03610940381069453,Drawing,Away
6,4670.0,148,-0.9403703703703704,0.03169164882226981,Drawing,Away
7,4882.0,178,-0.8668571428571428,0.03646046702171241,Drawing,Away
8,5309.0,187,-0.7786206896551725,0.035223205876812956,Drawing,Away
9,6429.0,232,-0.6951111111111111,0.036086483123347335,Drawing,Away
10,4715.0,153,-0.6252380952380953,0.03244962884411453,Drawing,Away
11,5712.0,198,-0.5468141592920354,0.03466386554621849,Drawing,Away
12,5707.0,214,-0.46956896551724137,0.03749780970737691,Drawing,Away
13,7306.0,257,-0.41524475524475524,0.03517656720503696,Drawing,Away
14,4713.0,202,-0.3661,0.0428601739868449,Drawing,Away
15,6127.0,255,-0.3027731092436975,0.0416190631630488,Drawing,Away
16,4952.0,209,-0.23650485436893204,0.04220516962843296,Drawing,Away
17,5617.0,260,-0.1801869158878505,0.04628805412141713,Drawing,Away
18,6045.0,247,-0.14517241379310344,0.04086021505376344,Drawing,Away
19,5925.0,237,-0.10188034188034188,0.04,Drawing,Away
20,5695.0,253,-0.03427350427350427,0.044424934152765584,Drawing,Away
21,5930.0,309,0.04773913043478261,0.052107925801011805,Drawing,Away
22,6052.0,310,0.10262711864406779,0.05122273628552545,Drawing,Away
23,5874.0,263,0.15517241379310345,0.04477357848144365,Drawing,Away
24,6350.0,326,0.26139344262295083,0.05133858267716535,Drawing,Away
25,5391.0,279,0.3482758620689655,0.05175292153589316,Drawing,Away
26,5381.0,288,0.5105555555555555,0.053521650250882735,Drawing,Away
27,5793.0,321,0.7250862068965517,0.05541170378042465,Drawing,Away
