side,metric,window_size,n_train,n_test,r2_test,rmse_test,mae_test
home,raw,12,73779,18370,0.0966388209479114,2.7284775323124904,2.1683981609545566
away,raw,12,73779,18370,0.0861800236259676,2.5222864222360557,1.9962556174418364
home,adj,12,67652,16810,0.1015103014006593,2.736941546290305,2.171620010873075
away,adj,12,67652,16810,0.0871539425002835,2.5386186465764826,2.001889144324485
home,nr,12,73779,18370,0.0968783196027629,2.7281158220512087,2.168455921855392
away,nr,12,73779,18370,0.0859036305402771,2.522667837525155,1.9966986730838985
home,adj_nr,12,67652,16810,0.1013402143896519,2.7372005899825678,2.172252376006408
away,adj_nr,12,67652,16810,0.0870428015932769,2.538773182924212,2.0021275784065184
home,raw,15,66313,16562,0.0955556494308171,2.7305530097977595,2.167054121866772
away,raw,15,66313,16562,0.0843413247162484,2.523818662882394,1.995586657028452
home,adj,15,61383,15323,0.1035896473434183,2.7367116106411804,2.1665110104809404
away,adj,15,61383,15323,0.0870808951377682,2.536132058545451,1.9987207916615968
home,nr,15,66313,16562,0.0956351298542151,2.7304330299021893,2.1671359768687166
away,nr,15,66313,16562,0.0843158254090951,2.5238538043499426,1.9956988757869267
home,adj_nr,15,61383,15323,0.103298933154034,2.7371553451431185,2.167125667443357
away,adj_nr,15,61383,15323,0.0873288353264591,2.535787640426564,1.9985626681075137
home,raw,19,57980,14493,0.0961198602346455,2.730975372752443,2.164971850446228
away,raw,19,57980,14493,0.0870494542762774,2.529389281217941,1.994426381457296
home,adj,19,53683,13417,0.1081981666840249,2.744907664796981,2.168436959154276
away,adj,19,53683,13417,0.0886879393799612,2.550493519717254,2.0065976084595407
home,nr,19,57980,14493,0.0962370008090421,2.730798403276491,2.165260072885165
away,nr,19,57980,14493,0.0867566800338146,2.52979482381426,1.994847695817596
home,adj_nr,19,53683,13417,0.1080382265575976,2.745153796381523,2.1691980490945126
away,adj_nr,19,53683,13417,0.0887775049380438,2.550368182854931,2.0064693771090343
home,raw,25,47886,11839,0.0997938771010459,2.7356772655014345,2.1614804296265286
away,raw,25,47886,11839,0.0874153334239037,2.5444191824631246,2.006136711378756
home,adj,25,43115,10760,0.1128507007036739,2.728623613544276,2.1532162339049323
away,adj,25,43115,10760,0.0909250449739335,2.557270818824212,2.009686134403583
home,nr,25,47886,11839,0.1001568452959136,2.735125689631265,2.161229390952424
away,nr,25,47886,11839,0.0872370197546789,2.5446677525829418,2.0065488776380955
home,adj_nr,25,43115,10760,0.1127848269473461,2.728724916307315,2.154071527336157
away,adj_nr,25,43115,10760,0.0912053699247257,2.556876504755398,2.009751199335003
home,raw,30,40070,9975,0.0999959961878529,2.7395113895780705,2.1660323231229945
away,raw,30,40070,9975,0.0846647561126795,2.551608346230713,2.0146481044256466
home,adj,30,34851,8709,0.1112685047899485,2.719337051016008,2.145690360743824
away,adj,30,34851,8709,0.088082191220181,2.555064397510871,2.013003268140073
home,nr,30,40070,9975,0.1001309182394829,2.739306038074454,2.166081707943372
away,nr,30,40070,9975,0.0846134391395034,2.551679871381052,2.014529079481207
home,adj_nr,30,34851,8709,0.1110896496415804,2.719610667381989,2.14656481599213
away,adj_nr,30,34851,8709,0.0883600951999292,2.5546750440717223,2.0128767528539973
