League,Team,matches,corners,repeaters,repeater_rate
England Premier League,Arsenal,403,2428,335,0.13797364085667216
England Premier League,Aston Villa,286,1461,250,0.17111567419575632
England Premier League,Bournemouth,293,1569,212,0.13511790949649458
England Premier League,Brentford,141,636,86,0.13522012578616352
England Premier League,Brighton,290,1463,211,0.1442241968557758
England Premier League,Burnley,298,1315,189,0.14372623574144486
England Premier League,Chelsea,403,2377,345,0.1451409339503576
England Premier League,Crystal Palace,400,2014,293,0.14548162859980138
England Premier League,Everton,401,1955,248,0.1268542199488491
England Premier League,Fulham,181,875,131,0.14971428571428572
England Premier League,Huddersfield,75,325,35,0.1076923076923077
England Premier League,Hull,71,321,46,0.14330218068535824
England Premier League,Leeds,109,575,95,0.16521739130434782
England Premier League,Leicester,362,1840,265,0.14402173913043478
England Premier League,Liverpool,401,2635,397,0.1506641366223909
England Premier League,Man City,399,2871,441,0.1536050156739812
England Premier League,Man Utd,405,2220,320,0.14414414414414414
England Premier League,Newcastle,360,1757,267,0.15196357427433124
England Premier League,Norwich,108,496,69,0.13911290322580644
England Premier League,Nottm Forest,108,407,49,0.12039312039312039
England Premier League,Sheff Utd,111,508,70,0.1377952755905512
England Premier League,Southampton,361,1886,291,0.15429480381760338
England Premier League,Stoke,145,626,91,0.14536741214057508
England Premier League,Sunderland,106,461,67,0.14533622559652928
England Premier League,Swansea,144,630,87,0.1380952380952381
England Premier League,Tottenham,404,2364,383,0.1620135363790186
England Premier League,Watford,221,999,113,0.11311311311311312
England Premier League,West Brom,183,808,120,0.1485148514851485
England Premier League,West Ham,403,1997,271,0.1357035553329995
England Premier League,Wolverhampton,252,1174,161,0.13713798977853492
France Ligue 1,Amiens,101,378,52,0.13756613756613756
France Ligue 1,Angers,319,1412,174,0.12322946175637393
France Ligue 1,Auxerre,64,236,28,0.11864406779661017
France Ligue 1,Bordeaux,281,1302,177,0.1359447004608295
France Ligue 1,Brest,201,911,116,0.12733260153677278
France Ligue 1,Caen,173,817,103,0.12607099143206854
France Ligue 1,Clermont Foot,111,491,58,0.11812627291242363
France Ligue 1,Dijon,173,729,76,0.10425240054869685
France Ligue 1,Guingamp,175,839,107,0.12753277711561384
France Ligue 1,Le Havre,63,239,25,0.10460251046025104
France Ligue 1,Lens,207,1077,141,0.1309192200557103
France Ligue 1,Lille,376,1846,229,0.12405200433369447
France Ligue 1,Lorient,251,1098,131,0.11930783242258652
France Ligue 1,Lyon,382,2010,271,0.13482587064676618
France Ligue 1,Marseille,382,2118,293,0.13833805476864966
France Ligue 1,Metz,237,957,97,0.1013584117032393
France Ligue 1,Monaco,380,2030,268,0.13201970443349753
France Ligue 1,Montpellier,380,1794,247,0.13768115942028986
France Ligue 1,Nantes,381,1836,250,0.13616557734204793
France Ligue 1,Nice,379,1805,262,0.14515235457063713
France Ligue 1,Nimes,104,506,64,0.12648221343873517
France Ligue 1,PSG,360,2139,301,0.1407199625993455
France Ligue 1,Reims,306,1392,174,0.125
France Ligue 1,Rennes,379,1845,246,0.13333333333333333
France Ligue 1,SC Bastia,103,385,53,0.13766233766233765
France Ligue 1,St Etienne,311,1558,228,0.14634146341463414
France Ligue 1,Strasbourg,279,1178,134,0.11375212224108659
France Ligue 1,Toulouse,306,1399,171,0.1222301644031451
France Ligue 1,Troyes,149,666,82,0.12312312312312312
Germany Bundesliga I,Arminia Bielefeld,66,255,32,0.12549019607843137
Germany Bundesliga I,Augsburg,355,1499,187,0.1247498332221481
Germany Bundesliga I,Bayer Leverkusen,358,2028,276,0.13609467455621302
Germany Bundesliga I,Bayern Munich,320,2148,329,0.1531657355679702
Germany Bundesliga I,Bochum,126,547,66,0.1206581352833638
Germany Bundesliga I,Borussia Dortmund,357,1967,260,0.13218098627351296
Germany Bundesliga I,Borussia M'gladbach,356,1710,219,0.1280701754385965
Germany Bundesliga I,Cologne,297,1436,188,0.1309192200557103
Germany Bundesliga I,Darmstadt,98,344,36,0.10465116279069768
Germany Bundesliga I,Eintracht Frankfurt,357,1836,240,0.13071895424836602
Germany Bundesliga I,FC Ingolstadt,68,300,28,0.09333333333333334
Germany Bundesliga I,Fortuna Dusseldorf,67,285,35,0.12280701754385964
Germany Bundesliga I,Hamburg,126,585,66,0.11282051282051282
Germany Bundesliga I,Hannover 96,126,560,55,0.09821428571428571
Germany Bundesliga I,Heidenheim,62,298,55,0.18456375838926176
Germany Bundesliga I,Hertha Berlin,298,1197,143,0.11946532999164577
Germany Bundesliga I,Mainz,355,1654,214,0.1293833131801693
Germany Bundesliga I,Paderborn,60,312,37,0.11858974358974358
Germany Bundesliga I,RB Leipzig,296,1550,211,0.13612903225806453
Germany Bundesliga I,SC Freiburg,322,1347,194,0.14402375649591687
Germany Bundesliga I,Schalke,261,1152,129,0.11197916666666667
Germany Bundesliga I,TSG Hoffenheim,348,1639,184,0.11226357535082367
Germany Bundesliga I,Union Berlin,197,868,78,0.08986175115207373
Germany Bundesliga I,VfB Stuttgart,290,1445,197,0.13633217993079585
Germany Bundesliga I,Werder Bremen,322,1369,190,0.13878743608473337
Germany Bundesliga I,Wolfsburg,361,1715,223,0.13002915451895045
Italy Serie A,AC Milan,399,2252,322,0.14298401420959148
Italy Serie A,Atalanta,402,2269,320,0.14103129131776113
Italy Serie A,Benevento,75,330,37,0.11212121212121212
Italy Serie A,Bologna,367,1729,274,0.1584731058415269
Italy Serie A,Cagliari,327,1468,173,0.1178474114441417
Italy Serie A,Chievo,184,716,84,0.11731843575418995
Italy Serie A,Crotone,112,427,55,0.1288056206088993
Italy Serie A,Empoli,292,1392,199,0.14295977011494254
Italy Serie A,Fiorentina,399,2181,310,0.14213663457129758
Italy Serie A,Frosinone,112,544,80,0.14705882352941177
Italy Serie A,Genoa,363,1655,227,0.13716012084592144
Italy Serie A,Inter Milan,400,2619,403,0.15387552500954563
Italy Serie A,Juventus,402,2216,288,0.1299638989169675
Italy Serie A,Lazio,398,2191,348,0.15883158375171155
Italy Serie A,Lecce,145,661,96,0.14523449319213314
Italy Serie A,Monza,107,429,57,0.13286713286713286
Italy Serie A,Napoli,404,2470,380,0.15384615384615385
Italy Serie A,Palermo,107,479,59,0.12317327766179541
Italy Serie A,Parma,172,717,92,0.12831241283124128
Italy Serie A,Roma,400,2358,331,0.14037319762510603
Italy Serie A,Salernitana,113,474,65,0.1371308016877637
Italy Serie A,Sampdoria,332,1592,234,0.14698492462311558
Italy Serie A,Sassuolo,369,1902,266,0.1398527865404837
Italy Serie A,Spal,113,524,86,0.16412213740458015
Italy Serie A,Spezia,112,487,62,0.1273100616016427
Italy Serie A,Torino,406,1889,210,0.1111699311805188
Italy Serie A,Udinese,401,1877,268,0.1427810335641982
Italy Serie A,Venezia,67,223,28,0.12556053811659193
Italy Serie A,Verona,328,1493,190,0.12726054922973878
Netherlands Eredivisie,ADO Den Haag,215,1007,115,0.11420059582919563
Netherlands Eredivisie,AZ,343,2116,350,0.16540642722117202
Netherlands Eredivisie,Ajax,304,2009,278,0.13837730214036834
Netherlands Eredivisie,Almere City FC,54,228,21,0.09210526315789473
Netherlands Eredivisie,Cambuur Leeuwarden,122,567,76,0.13403880070546736
Netherlands Eredivisie,De Graafschap,64,314,42,0.1337579617834395
Netherlands Eredivisie,Excelsior,221,958,130,0.13569937369519833
Netherlands Eredivisie,FC Emmen,126,562,82,0.14590747330960854
Netherlands Eredivisie,FC Groningen,307,1388,178,0.1282420749279539
Netherlands Eredivisie,FC Twente,316,1621,215,0.1326341764342998
Netherlands Eredivisie,FC Utrecht,348,1947,278,0.14278376990241398
Netherlands Eredivisie,FC Volendam,60,297,49,0.16498316498316498
