Date,League,Home,Away,Team,Minute,Event,Event.number.for.team,Home.Corners,Away.Corners,Home.SOT,Away.SOT,Home.SOffT,Away.SOffT,Home.Attacks,Away.Attacks,Home.DAT,Away.DAT,Home.Possession,Away.Possession,AH.Line,AH.Home.Odds,AH.Away.Odds,Asian.Corners.Line,Asian.Corners.O.Odds,Asian.Corners.U.Odds,Goal.Line,Goal.O.Odds,Goal.U.Odds,Corner.Handicap,Home.Handicap.Corner.Odds,Away.Handicap.Corner.Odds,Game.URL,eventid
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,7,Corner,1,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa7Corner1
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,8,Corner,2,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa8Corner2
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,15,Goal,1,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa15Goal1
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,30,Corner,3,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa30Corner3
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,33,Corner,4,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa33Corner4
22.03.2026,England Premier League,Aston Villa,West Ham,West Ham,37,Corner,1,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamWest Ham37Corner1
22.03.2026,England Premier League,Aston Villa,West Ham,West Ham,45,Yellow Card,1,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamWest Ham45Yellow Card1
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,45+1,Corner,5,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa45+1Corner5
22.03.2026,England Premier League,Aston Villa,West Ham,West Ham,45+3,Corner,2,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamWest Ham45+3Corner2
22.03.2026,England Premier League,Aston Villa,West Ham,Aston Villa,51,Corner,6,6,6,7,1,16,8,93,74,51,43,59,41,"Full (-0.5, -1.0)",1.925,1.925,Full (10.5),1.9,1.9,"Full (2.5, 3.0)",1.925,1.925,,,,https://www.totalcorner.com/match/corner-stats/190784578,22.03.2026Aston VillaWest HamAston Villa51Corner6
